epoch,Acc,Loss,Error,LR,model
6,0.8469,0.3499,,0.0008,resnet-32
7,0.8502,0.3399,,0.0008,resnet-32
8,0.8551,0.3303,,0.0008,resnet-32
9,0.8555,0.3314,,0.0008,resnet-32
10,0.8497,0.3377,,0.0008,resnet-32
11,0.8551,0.3234,,0.0008,resnet-32
12,0.8583,0.3226,,0.0008,resnet-32
13,0.8507,0.3299,,0.0008,resnet-32
14,0.8568,0.3296,,0.0008,resnet-32
15,0.8603,0.3184,,0.0008,resnet-32
16,0.8574,0.3206,,0.0008,resnet-32
17,0.8617,0.3119,,0.0008,resnet-32
18,0.8619,0.3148,,0.0008,resnet-32
19,0.8628,0.3148,,0.0008,resnet-32
20,0.8568,0.3211,,0.0008,resnet-32
21,0.8657,0.3082,,0.0008,resnet-32
22,0.8645,0.3104,,0.0008,resnet-32
23,0.8578,0.3185,,0.0008,resnet-32
0,0.7026,0.5621,,0.0007,resnet-32
1,0.7993,0.4375,,0.0007,resnet-32
2,0.8141,0.4041,,0.0007,resnet-32
3,0.8245,0.3919,,0.0007,resnet-32
4,0.8361,0.371,,0.0007,resnet-32
5,0.8403,0.3608,,0.0007,resnet-32
6,0.8498,0.3466,,0.0007,resnet-32
7,0.8423,0.3493,,0.0007,resnet-32
8,0.8589,0.3269,,0.0007,resnet-32
9,0.8548,0.3281,,0.0007,resnet-32
10,0.8611,0.3186,,0.0007,resnet-32
11,0.857,0.3248,,0.0007,resnet-32
12,0.8555,0.335,,0.0007,resnet-32
13,0.8608,0.3197,,0.0007,resnet-32
14,0.8571,0.3231,,0.0007,resnet-32
15,0.8506,0.3335,,0.0007,resnet-32
16,0.8569,0.3252,,0.0007,resnet-32
17,0.8633,0.3185,,0.0007,resnet-32
18,0.8568,0.3258,,0.0007,resnet-32
19,0.864,0.3089,,0.0007,resnet-32
20,0.8606,0.3193,,0.0007,resnet-32
21,0.8613,0.3136,,0.0007,resnet-32
22,0.859,0.3216,,0.0007,resnet-32
23,0.8613,0.3178,,0.0007,resnet-32
0,0.6937,0.5728,,0.0006,resnet-32
1,0.7831,0.4581,,0.0006,resnet-32
2,0.8045,0.4198,,0.0006,resnet-32
3,0.823,0.3958,,0.0006,resnet-32
4,0.8304,0.385,,0.0006,resnet-32
5,0.834,0.3736,,0.0006,resnet-32
6,0.8389,0.3621,,0.0006,resnet-32
7,0.8478,0.3453,,0.0006,resnet-32
8,0.8582,0.3302,,0.0006,resnet-32
9,0.8521,0.3331,,0.0006,resnet-32
10,0.8536,0.334,,0.0006,resnet-32
11,0.8502,0.3363,,0.0006,resnet-32
12,0.8528,0.3294,,0.0006,resnet-32
13,0.8534,0.3323,,0.0006,resnet-32
14,0.8583,0.3247,,0.0006,resnet-32
15,0.8588,0.3157,,0.0006,resnet-32
16,0.8564,0.3276,,0.0006,resnet-32
17,0.8619,0.3199,,0.0006,resnet-32
18,0.8612,0.3213,,0.0006,resnet-32
19,0.8593,0.3212,,0.0006,resnet-32
20,0.8524,0.3309,,0.0006,resnet-32
21,0.8595,0.3245,,0.0006,resnet-32
22,0.8627,0.3153,,0.0006,resnet-32
23,0.8611,0.3195,,0.0006,resnet-32
0,0.7058,0.5576,,0.0005,resnet-32
1,0.7881,0.4503,,0.4029,resnet-32
2,0.8179,0.4029,,0.0005,resnet-32
3,0.8271,0.3862,,0.0005,resnet-32
4,0.8309,0.3799,,0.0005,resnet-32
5,0.8364,0.3629,,0.0005,resnet-32
6,0.8437,0.3568,,0.0005,resnet-32
7,0.8458,0.3467,,0.0005,resnet-32
8,0.857,0.3245,,0.0005,resnet-32
9,0.8519,0.332,,0.0005,resnet-32
10,0.8612,0.3222,,0.0005,resnet-32
11,0.851,0.3333,,0.0005,resnet-32
12,0.8563,0.3281,,0.0005,resnet-32
13,0.8532,0.3283,,0.0005,resnet-32
14,0.8639,0.3148,,0.0005,resnet-32
15,0.8608,0.318,,0.0005,resnet-32
